@RELATION emlak_train

@ATTRIBUTE il {Canakkale,bilinmiyor}
@ATTRIBUTE ilce {Bozcaada,Gokceada,Merkez,Yenice,bilinmiyor}
@ATTRIBUTE mahalle {Alaybey_Mh.,Barbaros_Mah.,Cevat_Pasa_Mh.,Cinarli_Mh.,Cumhuriyet_Mah.,Derekoy_Koyu,Diger_Mahalle,Erenkoy_Koyu,Esenler_Mah.,Eski_Yenice_Mah.,Fatih_Mah.,Ismetpasa_Mh.,Karacaoren_Koyu,Kepez_Bld.,Kurtulus_Mh.,Kuzulimani_Mh.,Sirinkoy_Koyu,Tepekoy_Koyu,Ugurlu_Koyu,Yeni_Mah.,Yeni_Mh.,Zeytinli_Koyu}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0_Oturuma_Hazir,0_Yapim_Asamasinda,1,11_15_arasi,16_20_arasi,2,20,21_25_arasi,26_30_arasi,3,31_ve_uzeri,4,5,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,2,3,4,5,6,7,8,9,Bahce_Kati,Bilinmiyor,Cati_Kati,Giris_Kati,Mustakil,Villa_Tipi,Yuksek_Giris,Zemin_Kat,bilinmiyor}
@ATTRIBUTE isitma_raw {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Merkezi_Pay_Olcer,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE mutfak_raw {Acik_Amerikan,Bilinmiyor,Kapali,bilinmiyor}
@ATTRIBUTE metrekare_brut NUMERIC
@ATTRIBUTE metrekare_net NUMERIC
@ATTRIBUTE oda_sayisi NUMERIC
@ATTRIBUTE bina_yasi_numeric NUMERIC
@ATTRIBUTE bina_yasi_ordinal NUMERIC
@ATTRIBUTE bulundugu_kat_no NUMERIC
@ATTRIBUTE bulundugu_kat_ordinal NUMERIC
@ATTRIBUTE kat_sayisi NUMERIC
@ATTRIBUTE isitma_score NUMERIC
@ATTRIBUTE banyo_sayisi NUMERIC
@ATTRIBUTE mutfak_acik_mi NUMERIC
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE Bati {yok,var}
@ATTRIBUTE Dogu {yok,var}
@ATTRIBUTE Guney {yok,var}
@ATTRIBUTE Kuzey {yok,var}
@ATTRIBUTE ADSL {yok,var}
@ATTRIBUTE Ahsap_Dograma {yok,var}
@ATTRIBUTE Akilli_Ev {yok,var}
@ATTRIBUTE Alarm_Hirsiz {yok,var}
@ATTRIBUTE Alarm_Yangin {yok,var}
@ATTRIBUTE Alaturka_Tuvalet {yok,var}
@ATTRIBUTE Aluminyum_Dograma {yok,var}
@ATTRIBUTE Amerikan_Kapi {yok,var}
@ATTRIBUTE Ankastre_Firin {yok,var}
@ATTRIBUTE Barbeku {yok,var}
@ATTRIBUTE Beyaz_Esya {yok,var}
@ATTRIBUTE Boyali {yok,var}
@ATTRIBUTE Bulasik_Makinesi {yok,var}
@ATTRIBUTE Buzdolabi {yok,var}
@ATTRIBUTE Camasir_Kurutma_Makinesi {yok,var}
@ATTRIBUTE Camasir_Makinesi {yok,var}
@ATTRIBUTE Camasir_Odasi {yok,var}
@ATTRIBUTE Celik_Kapi {yok,var}
@ATTRIBUTE Dusakabin {yok,var}
@ATTRIBUTE Duvar_Kagidi {yok,var}
@ATTRIBUTE Ebeveyn_Banyosu {yok,var}
@ATTRIBUTE Firin {yok,var}
@ATTRIBUTE Fiber_Internet {yok,var}
@ATTRIBUTE Giyinme_Odasi {yok,var}
@ATTRIBUTE Gomme_Dolap {yok,var}
@ATTRIBUTE Goruntulu_Diyafon {yok,var}
@ATTRIBUTE Hilton_Banyo {yok,var}
@ATTRIBUTE Intercom_Sistemi {yok,var}
@ATTRIBUTE Isicam {yok,var}
@ATTRIBUTE Jakuzi {yok,var}
@ATTRIBUTE Kartonpiyer {yok,var}
@ATTRIBUTE Kiler {yok,var}
@ATTRIBUTE Klima {yok,var}
@ATTRIBUTE Kuvet {yok,var}
@ATTRIBUTE Laminat_Zemin {yok,var}
@ATTRIBUTE Marley {yok,var}
@ATTRIBUTE Mobilya {yok,var}
@ATTRIBUTE Mutfak_Ankastre {yok,var}
@ATTRIBUTE Mutfak_Laminat {yok,var}
@ATTRIBUTE Mutfak_Dogalgazi {yok,var}
@ATTRIBUTE Panjur_Jaluzi {yok,var}
@ATTRIBUTE Parke_Zemin {yok,var}
@ATTRIBUTE PVC_Dograma {yok,var}
@ATTRIBUTE Seramik_Zemin {yok,var}
@ATTRIBUTE Set_Ustu_Ocak {yok,var}
@ATTRIBUTE Spot_Aydinlatma {yok,var}
@ATTRIBUTE Sofben {yok,var}
@ATTRIBUTE Somine {yok,var}
@ATTRIBUTE Teras {yok,var}
@ATTRIBUTE Termosifon {yok,var}
@ATTRIBUTE Vestiyer {yok,var}
@ATTRIBUTE Yuz_Tanima_ve_Parmak_Izi {yok,var}
@ATTRIBUTE Arac_Sarj_Istasyonu {yok,var}
@ATTRIBUTE 24_Saat_Guvenlik {yok,var}
@ATTRIBUTE Apartman_Gorevlisi {yok,var}
@ATTRIBUTE Buhar_Odasi {yok,var}
@ATTRIBUTE Cocuk_Oyun_Parki {yok,var}
@ATTRIBUTE Hamam {yok,var}
@ATTRIBUTE Hidrofor {yok,var}
@ATTRIBUTE Isi_Yalitimi {yok,var}
@ATTRIBUTE Jenerator {yok,var}
@ATTRIBUTE Kablo_TV {yok,var}
@ATTRIBUTE Kamera_Sistemi {yok,var}
@ATTRIBUTE Kopek_Parki {yok,var}
@ATTRIBUTE Kres {yok,var}
@ATTRIBUTE Mustakil_Havuzlu {yok,var}
@ATTRIBUTE Sauna {yok,var}
@ATTRIBUTE Ses_Yalitimi {yok,var}
@ATTRIBUTE Siding {yok,var}
@ATTRIBUTE Spor_Alani {yok,var}
@ATTRIBUTE Su_Deposu {yok,var}
@ATTRIBUTE Tenis_Kortu {yok,var}
@ATTRIBUTE Uydu {yok,var}
@ATTRIBUTE Yangin_Merdiveni {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Acik {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Kapali {yok,var}
@ATTRIBUTE Alisveris_Merkezi {yok,var}
@ATTRIBUTE Belediye {yok,var}
@ATTRIBUTE Cami {yok,var}
@ATTRIBUTE Cemevi {yok,var}
@ATTRIBUTE Denize_Sifir {yok,var}
@ATTRIBUTE Eczane {yok,var}
@ATTRIBUTE Eglence_Merkezi {yok,var}
@ATTRIBUTE Fuar {yok,var}
@ATTRIBUTE Gole_Sifir {yok,var}
@ATTRIBUTE Hastane {yok,var}
@ATTRIBUTE Havra {yok,var}
@ATTRIBUTE Ilkokul_Ortaokul {yok,var}
@ATTRIBUTE Itfaiye {yok,var}
@ATTRIBUTE Kilise {yok,var}
@ATTRIBUTE Lise {yok,var}
@ATTRIBUTE Market {yok,var}
@ATTRIBUTE Park {yok,var}
@ATTRIBUTE Plaj {yok,var}
@ATTRIBUTE Polis_Merkezi {yok,var}
@ATTRIBUTE Saglik_Ocagi {yok,var}
@ATTRIBUTE Semt_Pazari {yok,var}
@ATTRIBUTE Spor_Salonu {yok,var}
@ATTRIBUTE Sehir_Merkezi {yok,var}
@ATTRIBUTE Universite {yok,var}
@ATTRIBUTE Anayol {yok,var}
@ATTRIBUTE Avrasya_Tuneli {yok,var}
@ATTRIBUTE Bogaz_Kopruleri {yok,var}
@ATTRIBUTE Cadde {yok,var}
@ATTRIBUTE Deniz_Otobusu {yok,var}
@ATTRIBUTE Dolmus {yok,var}
@ATTRIBUTE E_5 {yok,var}
@ATTRIBUTE Havaalani {yok,var}
@ATTRIBUTE Iskele {yok,var}
@ATTRIBUTE Marmaray {yok,var}
@ATTRIBUTE Metro {yok,var}
@ATTRIBUTE Metrobus {yok,var}
@ATTRIBUTE Minibus {yok,var}
@ATTRIBUTE Otobus_Duragi {yok,var}
@ATTRIBUTE Sahil {yok,var}
@ATTRIBUTE TEM {yok,var}
@ATTRIBUTE Tramvay {yok,var}
@ATTRIBUTE Tren_Istasyonu {yok,var}
@ATTRIBUTE Bogaz {yok,var}
@ATTRIBUTE Deniz {yok,var}
@ATTRIBUTE Doga {yok,var}
@ATTRIBUTE Gol {yok,var}
@ATTRIBUTE Havuz {yok,var}
@ATTRIBUTE Nehir {yok,var}
@ATTRIBUTE Park_ve_Yesil_Alan {yok,var}
@ATTRIBUTE Sehir {yok,var}
@ATTRIBUTE Dubleks {yok,var}
@ATTRIBUTE En_Ust_Kat {yok,var}
@ATTRIBUTE Ara_Kat {yok,var}
@ATTRIBUTE Ara_Kat_Dubleks {yok,var}
@ATTRIBUTE Bahce_Dubleksi {yok,var}
@ATTRIBUTE Cati_Dubleksi {yok,var}
@ATTRIBUTE Forleks {yok,var}
@ATTRIBUTE Ters_Dubleks {yok,var}
@ATTRIBUTE Tripleks {yok,var}
@ATTRIBUTE Arac_Park_Yeri {yok,var}
@ATTRIBUTE Engelliye_Uygun_Asansor {yok,var}
@ATTRIBUTE Engelliye_Uygun_Banyo {yok,var}
@ATTRIBUTE Engelliye_Uygun_Mutfak {yok,var}
@ATTRIBUTE Engelliye_Uygun_Park {yok,var}
@ATTRIBUTE Genis_Koridor {yok,var}
@ATTRIBUTE Giris_Rampa {yok,var}
@ATTRIBUTE Merdiven {yok,var}
@ATTRIBUTE Oda_Kapisi {yok,var}
@ATTRIBUTE Priz_Elektrik_Anahtari {yok,var}
@ATTRIBUTE Tutamak_Korkuluk {yok,var}
@ATTRIBUTE Tuvalet {yok,var}
@ATTRIBUTE Yuzme_Havuzu {yok,var}
@ATTRIBUTE fiyat_tl NUMERIC

@DATA
Canakkale,Merkez,Erenkoy_Koyu,Satilik,16_20_arasi,Yuksek_Giris,Kat_Kaloriferi,Kat_Kaloriferi,Kapali,140.0,120.0,4.0,16.0,2.0,0.0,4.0,7.0,4.0,1.0,0.0,var,var,var,yok,var,var,var,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,var,yok,var,yok,yok,var,yok,var,var,yok,yok,yok,yok,var,yok,yok,yok,yok,var,var,yok,yok,yok,yok,var,yok,var,var,yok,yok,yok,yok,yok,var,yok,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,var,yok,yok,var,yok,var,var,yok,yok,yok,yok,yok,var,var,yok,yok,yok,yok,var,var,var,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,3800000.0
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,5,2,Klima,Klima,Acik_Amerikan,60.0,50.0,2.0,5.0,4.0,2.0,5.0,2.0,3.0,1.0,1.0,var,yok,var,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,var,yok,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,3350000.0
Canakkale,Gokceada,Cumhuriyet_Mah.,Satilik,6_10_arasi,1,Merkezi,Merkezi,Acik_Amerikan,90.0,77.0,3.0,8.0,3.0,1.0,5.0,2.0,4.0,1.0,1.0,var,yok,var,var,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,var,var,yok,var,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,var,yok,var,var,yok,yok,yok,var,var,yok,var,yok,var,yok,yok,var,var,yok,yok,yok,var,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,var,yok,var,yok,yok,var,var,yok,yok,var,var,yok,yok,yok,var,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,4550000.0
Canakkale,Merkez,Kepez_Bld.,Satilik,6_10_arasi,Bahce_Kati,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,110.0,85.0,3.0,8.0,3.0,0.0,4.0,2.0,5.0,1.0,1.0,var,yok,var,yok,var,var,var,var,var,yok,var,var,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,var,var,var,yok,yok,yok,var,yok,var,var,yok,var,var,yok,var,var,var,yok,var,yok,yok,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,var,yok,var,yok,var,var,yok,yok,var,yok,var,var,var,var,var,yok,var,yok,yok,var,var,var,var,var,var,var,var,var,var,var,var,yok,var,var,yok,yok,yok,var,yok,var,yok,yok,var,var,var,var,var,var,var,var,var,var,yok,yok,var,var,yok,yok,yok,var,var,yok,yok,yok,var,var,var,yok,yok,yok,var,var,var,yok,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,var,var,var,var,var,var,var,var,var,var,10650000.0
Canakkale,Gokceada,Yeni_Mh.,Satilik,0_Oturuma_Hazir,2,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,76.0,52.0,3.0,0.0,0.0,2.0,5.0,3.0,5.0,1.0,1.0,var,yok,var,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,4350000.0
Canakkale,Gokceada,Derekoy_Koyu,Satilik,5,Bilinmiyor,Soba,Soba,Acik_Amerikan,240.0,160.0,4.0,5.0,4.0,0.0,0.0,2.0,1.0,3.0,1.0,yok,yok,var,var,var,var,var,yok,var,var,yok,var,yok,var,yok,var,var,var,var,var,var,var,var,var,var,yok,var,var,var,yok,var,yok,yok,yok,var,var,var,yok,yok,var,yok,var,var,var,var,var,var,var,yok,var,var,var,var,var,var,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,var,yok,yok,var,yok,var,var,var,var,var,var,var,var,var,yok,var,yok,yok,var,yok,var,var,yok,yok,yok,yok,yok,var,var,yok,yok,yok,yok,yok,var,var,yok,yok,yok,var,yok,var,yok,var,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,25900000.0
Canakkale,Merkez,Kepez_Bld.,Satilik,6_10_arasi,5,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,230.0,185.0,6.0,8.0,3.0,5.0,5.0,5.0,5.0,3.0,0.0,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,10750000.0
Canakkale,Gokceada,Cinarli_Mh.,Satilik,0_Oturuma_Hazir,Bilinmiyor,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,150.0,85.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,yok,yok,var,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,11000000.0
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,6_10_arasi,Bahce_Kati,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,165.0,150.0,6.0,8.0,3.0,0.0,4.0,2.0,5.0,2.0,1.0,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,var,yok,yok,yok,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,var,var,var,yok,yok,var,yok,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,8500000.0
Canakkale,Merkez,Kepez_Bld.,Satilik,11_15_arasi,Bahce_Kati,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,105.0,90.0,3.0,13.0,2.0,0.0,4.0,4.0,5.0,1.0,0.0,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,var,yok,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,4500000.0
Canakkale,Gokceada,Cinarli_Mh.,Satilik,0_Oturuma_Hazir,Bilinmiyor,Yerden_Isitma,Yerden_Isitma,Kapali,197.0,183.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,yok,yok,var,yok,var,var,var,var,var,var,yok,yok,yok,yok,yok,var,var,yok,yok,var,yok,yok,yok,yok,var,var,var,yok,var,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,var,var,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,var,yok,yok,yok,var,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,16000000.0
Canakkale,Gokceada,Sirinkoy_Koyu,Satilik,21_25_arasi,Bilinmiyor,Soba,Soba,Kapali,125.0,120.0,4.0,21.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,7950000.0
Canakkale,Gokceada,Yeni_Mh.,Satilik,6_10_arasi,2,Klima,Klima,Acik_Amerikan,55.0,45.0,2.0,8.0,3.0,2.0,5.0,4.0,3.0,1.0,1.0,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,2750000.0
Canakkale,Merkez,Karacaoren_Koyu,Satilik,0_Oturuma_Hazir,2,Merkezi_Pay_Olcer,Merkezi,Kapali,119.0,92.0,4.0,0.0,0.0,2.0,5.0,7.0,5.0,2.0,0.0,var,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,9100000.0
Canakkale,Gokceada,Fatih_Mah.,Satilik,4,3,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,103.0,78.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,1.0,var,var,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,var,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,var,var,yok,yok,var,yok,yok,yok,var,yok,var,var,var,var,var,var,yok,var,yok,var,var,var,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,var,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,4700000.0
